[2025-05-03 00:07:13] - IP: ::1 - API Key: None - Path:  - Status: 401
[2025-05-03 00:13:41] - IP: ::1 - API Key: None - Path: users - Status: 401
[2025-05-03 00:14:50] - IP: ::1 - API Key: None - Path: users - Status: 401
[2025-05-03 00:17:31] - IP: ::1 - API Key: None - Path: users - Status: 401
[2025-05-03 00:17:41] - IP: ::1 - API Key: None - Path: users - Status: 401
[2025-05-03 00:18:11] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:18:57] - IP: ::1 - API Key: None - Path: users - Status: 401
[2025-05-03 00:19:36] - IP: ::1 - API Key: None - Path: users - Status: 401
[2025-05-03 00:22:28] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:29] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:30] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:30] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:31] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:32] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:32] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:33] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:34] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:34] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:22:35] - IP: ::1 - API Key: key123 - Path: users - Status: 429
[2025-05-03 00:22:35] - IP: ::1 - API Key: key123 - Path: users - Status: 429
[2025-05-03 00:35:09] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:41] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:41] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:42] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:42] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:43] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:44] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:44] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:45] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:46] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 00:35:46] - IP: ::1 - API Key: key123 - Path: users - Status: 429
[2025-05-03 00:35:47] - IP: ::1 - API Key: key123 - Path: users - Status: 429
[2025-05-03 00:36:12] - IP: ::1 - API Key: key123 - Path: dashboard - Status: 200
[2025-05-03 03:13:39] - IP: ::1 - API Key: key123 - Path: dashboard - Status: 200
[2025-05-03 03:13:54] - IP: ::1 - API Key: key123 - Path: user - Status: 404
[2025-05-03 03:14:00] - IP: ::1 - API Key: key123 - Path: users - Status: 200
[2025-05-03 03:14:09] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:15] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:16] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:17] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:18] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:19] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:20] - IP: ::1 - API Key: key123 - Path: products - Status: 200
[2025-05-03 03:14:20] - IP: ::1 - API Key: key123 - Path: products - Status: 429
[2025-05-03 03:14:21] - IP: ::1 - API Key: key123 - Path: products - Status: 429
